id;nom;symbole;bourse_id
1;SONATEL SN;SNTS;1
2;AIR LIQUIDE CI;SIVC;1
3;BERNABE CI;BNBC;1
4;BICI CI;BICC;1
5;BOA BF;BOABF;1
6;BOA BN;BOAB;1
7;BOA CI;BOAC;1
8;BOA NG;BOAN;1
9;BOA SN;BOAS;1
10;BOLLORE CI;SDSC;1
11;CFAO CI;CFAC;1
12;CIE CI;CIEC;1
13;CROWN CIE CI;SEMC;1
14;FILTISAC CI;FTSC;1
15;MOVIS CI;SVOC;1
16;NEI CEDA CI;NEIC;1
17;NESTLE CI;NTLC;1
18;ONATEL BF;ONTBF;1
19;PALM CI;PALC;1
20;SAFCA CI;SAFC;1
21;SAPH CI;SPHC;1
22;SERVAIR CI;ABJC;1
23;SETAO CI;STAC;1
24;SGB CI;SGBC;1
25;SICOR CI;SICC;1
26;SMB CI;SMBC;1
27;SODE CI;SDCC;1
28;SOGB CI;SOGC;1
29;SOLIBRA CI;SLBC;1
30;TOTAL CI;TTLC;1
31;TOTAL SN;TTLS;1
32;TRACTAFRIQUE CI;PRSC;1
33;UNILEVER CI;UNLC;1
34;UNIWAX CI;UNXC;1
35;VIVO ENEGY CI;SHEC;1
36;SICABLE CI;CABC;1
37;SITAB CI;STBC;1
38;ECOBANK TG;ETIT;1
